City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Monte Alegre,BR,74.37,scattered clouds,-2.01,-54.07,Hotel Shekinah
2,Yerofey Pavlovich,RU,72.41,overcast clouds,53.97,121.97,lounges and warm parking
4,Hithadhoo,MV,79.88,overcast clouds,-0.6,73.08,Scoop Guest House
7,Bethel,US,81.66,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
9,Alamosa,US,75.18,scattered clouds,37.47,-105.87,Best Western Alamosa Inn
10,Kapaa,US,85.98,scattered clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
11,Bathsheba,BB,81.21,few clouds,13.22,-59.52,Atlantis Hotel
13,Fukue,JP,84.56,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
14,Sao Filipe,CV,75.24,scattered clouds,14.9,-24.5,Hotel Xaguate
15,Arraial Do Cabo,BR,70.2,scattered clouds,-22.97,-42.03,Pousada Porto Praia
20,Atuona,PF,77.76,scattered clouds,-9.8,-139.03,Villa Enata
22,Dingtao,CN,85.26,clear sky,35.07,115.56,VX Heze Dingtao District Taoyi Road Hotel
23,Hilo,US,81.25,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
25,Sioux Lookout,CA,66.27,broken clouds,50.1,-91.92,Knobby's Fly-In Camps
27,Dingle,PH,86.52,moderate rain,11.0,122.67,SEGAYA PROPERTY
28,Chapais,CA,65.98,overcast clouds,49.78,-74.85,Hôtel Opémiska
33,Albany,US,81.18,few clouds,42.6,-73.97,
34,Hurghada,EG,87.84,clear sky,27.26,33.81,Sea Star Beau Rivage Hotel
35,La Ronge,CA,70.05,broken clouds,55.1,-105.28,Northland Motor Hotel
38,Doka,SD,67.62,overcast clouds,13.52,35.77,Um Rakuba Refugee Camp
42,Padang,ID,82.45,light rain,-0.95,100.35,Mercure Padang
43,Bengkulu,ID,82.81,few clouds,-3.8,102.27,Grage Hotel Bengkulu
45,Nikolskoye,RU,65.88,clear sky,59.7,30.79,Tourist House - Sablino
46,Rikitea,PF,73.2,light rain,-23.12,-134.97,People ThankYou
47,Carnarvon,AU,69.87,overcast clouds,-24.87,113.63,Hospitality Carnarvon
48,Gigmoto,PH,86.07,light rain,13.78,124.39,Cj's Travellers Inn
51,Mount Isa,AU,69.57,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
53,Puerto Ayora,EC,67.55,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
54,Tessalit,ML,80.47,broken clouds,20.2,1.01,
60,Vega De Alatorre,MX,81.46,few clouds,20.03,-96.63,Hotel D Luxe
61,Souillac,MU,68.38,light rain,-20.52,57.52,Bils' Villa
64,Port Blair,IN,82.44,moderate rain,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
65,Biak,ID,81.45,scattered clouds,-0.91,122.88,Penginapan Kim
66,Camopi,GF,70.45,scattered clouds,3.17,-52.32,La pousada
67,Lompoc,US,77.14,clear sky,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
69,Georgetown,MY,85.95,few clouds,5.41,100.34,Cititel Penang
70,Vila Franca Do Campo,PT,70.21,scattered clouds,37.72,-25.43,Pestana Bahia Praia
71,Manzanillo,CU,76.42,broken clouds,20.34,-77.12,Adrian & Tonia
73,Icod De Los Vinos,ES,85.14,few clouds,28.37,-16.71,Hotel El Patio
74,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
76,Pangkalanbuun,ID,85.71,clear sky,-2.68,111.62,Grand Kecubung Hotel
77,Zhumadian,CN,87.21,scattered clouds,32.98,114.03,Ouyue House Hotel
78,Chippewa Falls,US,75.38,clear sky,44.94,-91.39,AmericInn by Wyndham Chippewa Falls
80,Meulaboh,ID,82.8,overcast clouds,4.14,96.13,Kost Pria
81,Tura,IN,77.83,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
82,Yellowknife,CA,66.72,broken clouds,62.46,-114.35,The Explorer Hotel
85,Langenau,DE,66.22,broken clouds,48.5,10.12,Hotel Gasthof zum Bad
86,Carutapera,BR,76.12,scattered clouds,-1.2,-46.02,Lidera
87,Lafia,NG,71.94,overcast clouds,8.48,8.52,Low Cost Housing Estate
88,Norman Wells,CA,73.44,broken clouds,65.28,-126.83,Heritage Hotel
89,Jamestown,US,80.24,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
90,Tucuma,BR,75.61,few clouds,-0.18,-50.05,
91,Zacatepec,MX,75.42,scattered clouds,18.65,-99.2,Villas El Paraíso
92,Yumen,CN,68.38,clear sky,40.28,97.2,
93,Atar,MR,81.18,scattered clouds,20.52,-13.05,Oumou Elghoura
96,Avarua,CK,73.45,broken clouds,-21.21,-159.78,Paradise Inn
98,Zabol,AF,80.33,clear sky,32.25,67.25,
100,San Patricio,US,86.9,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
103,Pyay,MM,86.7,overcast clouds,18.82,95.22,Shwe Pyi Thar
105,Cabo San Lucas,MX,89.62,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
111,Port Moresby,PG,85.42,broken clouds,-9.44,147.18,Lamana Hotel (Port Moresby)
112,Arlit,NE,89.28,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
113,Nizhnyaya Poyma,RU,72.79,scattered clouds,56.16,97.19,Gostinitsa
114,Katsuura,JP,81.0,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
116,Panjab,AF,65.26,clear sky,34.39,67.02,
118,Romitan,UZ,80.55,clear sky,39.93,64.38,Hotel Temur
119,Mithi,PK,85.06,broken clouds,24.73,69.8,Marvi professional hostel
120,Bambous Virieux,MU,68.25,light rain,-20.34,57.76,Casa Tia Villa
122,Karratha,AU,77.16,clear sky,-20.74,116.85,ibis Styles Karratha
