City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.60,168.33,45.81,69,100,7.49,overcast clouds
1,Monte Alegre,BR,-2.01,-54.07,74.37,91,35,3.89,scattered clouds
2,Yerofey Pavlovich,RU,53.97,121.97,72.41,69,93,3.27,overcast clouds
3,Talcahuano,CL,-36.72,-73.12,51.48,100,100,8.05,light intensity drizzle
4,Hithadhoo,MV,-0.60,73.08,79.88,76,99,5.66,overcast clouds
5,Port Elizabeth,ZA,-33.92,25.57,54.32,92,40,13.0,scattered clouds
6,Tuatapere,NZ,-46.13,167.68,46.76,79,100,5.03,overcast clouds
7,Bethel,US,41.37,-73.41,81.66,77,1,1.01,clear sky
8,Nemuro,JP,43.32,145.57,60.91,85,56,8.68,broken clouds
9,Alamosa,US,37.47,-105.87,75.18,38,40,12.66,scattered clouds
10,Kapaa,US,22.08,-159.32,85.98,70,40,17.27,scattered clouds
11,Bathsheba,BB,13.22,-59.52,81.21,95,20,14.97,few clouds
12,Oksfjord,NO,70.24,22.35,62.67,77,47,6.04,scattered clouds
13,Fukue,JP,32.69,128.84,84.56,89,75,11.5,broken clouds
14,Sao Filipe,CV,14.90,-24.50,75.24,91,49,4.61,scattered clouds
15,Arraial Do Cabo,BR,-22.97,-42.03,70.2,83,30,10.94,scattered clouds
16,Lavrentiya,RU,65.58,-171.00,40.69,74,100,20.38,overcast clouds
17,Busselton,AU,-33.65,115.33,59.05,79,53,18.01,broken clouds
18,Hobart,AU,-42.88,147.33,50.25,70,20,8.05,few clouds
19,Narsaq,GL,60.92,-46.05,48.42,96,55,4.68,broken clouds
20,Atuona,PF,-9.80,-139.03,77.76,76,45,14.97,scattered clouds
21,Tasiilaq,GL,65.61,-37.64,35.76,78,100,4.61,overcast clouds
22,Dingtao,CN,35.07,115.56,85.26,60,0,6.71,clear sky
23,Hilo,US,19.73,-155.09,81.25,74,40,9.22,scattered clouds
24,Castro,BR,-24.79,-50.01,55.35,94,3,4.34,clear sky
25,Sioux Lookout,CA,50.10,-91.92,66.27,88,75,9.22,broken clouds
26,Berlevag,NO,70.86,29.09,59.0,88,20,3.44,few clouds
27,Dingle,PH,11.00,122.67,86.52,70,100,3.98,moderate rain
28,Chapais,CA,49.78,-74.85,65.98,94,100,6.89,overcast clouds
29,Punta Arenas,CL,-53.15,-70.92,32.11,80,20,17.27,few clouds
30,Cape Town,ZA,-33.93,18.42,55.38,79,0,5.75,clear sky
31,Wanaka,NZ,-44.70,169.15,38.52,90,93,4.85,overcast clouds
32,Batman,TR,37.89,41.13,64.2,68,0,9.22,clear sky
33,Albany,US,42.60,-73.97,81.18,69,16,5.3,few clouds
34,Hurghada,EG,27.26,33.81,87.84,29,0,13.8,clear sky
35,La Ronge,CA,55.10,-105.28,70.05,46,75,8.05,broken clouds
36,Yazman,PK,29.12,71.74,90.48,59,55,19.98,broken clouds
37,Torbay,CA,47.67,-52.73,63.57,88,100,21.85,light rain
38,Doka,SD,13.52,35.77,67.62,92,100,14.2,overcast clouds
39,Lebu,CL,-37.62,-73.65,50.72,93,100,5.21,overcast clouds
40,Doha,QA,25.29,51.53,93.51,70,0,9.22,clear sky
41,Xining,CN,36.62,101.77,52.65,95,100,6.26,light rain
42,Padang,ID,-0.95,100.35,82.45,68,42,3.47,light rain
43,Bengkulu,ID,-3.80,102.27,82.81,70,15,1.14,few clouds
44,Mehran,IR,33.12,46.16,98.29,9,0,9.13,clear sky
45,Nikolskoye,RU,59.70,30.79,65.88,84,8,6.87,clear sky
46,Rikitea,PF,-23.12,-134.97,73.2,77,0,6.24,light rain
47,Carnarvon,AU,-24.87,113.63,69.87,94,100,13.8,overcast clouds
48,Gigmoto,PH,13.78,124.39,86.07,72,100,5.66,light rain
49,Leningradskiy,RU,69.38,178.42,33.19,96,100,20.83,light snow
50,Qaanaaq,GL,77.48,-69.36,40.06,82,100,5.99,overcast clouds
51,Mount Isa,AU,-20.73,139.50,69.57,21,0,12.66,clear sky
52,East London,ZA,-33.02,27.91,59.47,86,23,9.1,few clouds
53,Puerto Ayora,EC,-0.74,-90.35,67.55,98,70,5.99,broken clouds
54,Tessalit,ML,20.20,1.01,80.47,54,72,17.98,broken clouds
55,Constitucion,CL,-35.33,-72.42,50.65,89,1,6.15,clear sky
56,Mar Del Plata,AR,-38.00,-57.56,56.08,69,0,16.11,clear sky
57,Kaitangata,NZ,-46.28,169.85,46.02,77,93,8.37,overcast clouds
58,Sosva,RU,59.18,61.86,58.46,98,100,7.85,light rain
59,Manado,ID,1.49,124.85,90.37,62,20,3.44,few clouds
60,Vega De Alatorre,MX,20.03,-96.63,81.46,76,23,14.56,few clouds
61,Souillac,MU,-20.52,57.52,68.38,77,75,21.85,light rain
62,Hermanus,ZA,-34.42,19.23,49.33,76,0,5.93,clear sky
63,Ushuaia,AR,-54.80,-68.30,29.86,80,75,21.85,light snow
64,Port Blair,IN,11.67,92.75,82.44,83,100,10.36,moderate rain
65,Biak,ID,-0.91,122.88,81.45,76,29,3.04,scattered clouds
66,Camopi,GF,3.17,-52.32,70.45,99,26,1.79,scattered clouds
67,Lompoc,US,34.64,-120.46,77.14,79,0,12.66,clear sky
68,San Luis,AR,-33.30,-66.34,50.63,50,0,6.17,clear sky
69,Georgetown,MY,5.41,100.34,85.95,79,20,3.44,few clouds
70,Vila Franca Do Campo,PT,37.72,-25.43,70.21,91,41,0.85,scattered clouds
71,Manzanillo,CU,20.34,-77.12,76.42,87,79,7.56,broken clouds
72,Launceston,AU,-41.45,147.17,56.16,54,100,3.44,overcast clouds
73,Icod De Los Vinos,ES,28.37,-16.71,85.14,50,14,15.35,few clouds
74,Vaini,TO,-21.20,-175.20,80.76,78,20,8.05,few clouds
75,Barrow,US,71.29,-156.79,50.02,71,0,14.97,clear sky
76,Pangkalanbuun,ID,-2.68,111.62,85.71,69,10,4.27,clear sky
77,Zhumadian,CN,32.98,114.03,87.21,56,37,2.91,scattered clouds
78,Chippewa Falls,US,44.94,-91.39,75.38,60,0,6.91,clear sky
79,Talnakh,RU,69.49,88.40,54.05,75,100,7.78,overcast clouds
80,Meulaboh,ID,4.14,96.13,82.8,65,100,0.09,overcast clouds
81,Tura,IN,25.52,90.22,77.83,92,99,4.43,overcast clouds
82,Yellowknife,CA,62.46,-114.35,66.72,45,75,8.05,broken clouds
83,Mataura,NZ,-46.19,168.86,45.48,81,100,3.85,overcast clouds
84,Tiksi,RU,71.69,128.87,41.9,79,16,22.3,few clouds
85,Langenau,DE,48.50,10.12,66.22,94,74,3.71,broken clouds
86,Carutapera,BR,-1.20,-46.02,76.12,88,41,4.59,scattered clouds
87,Lafia,NG,8.48,8.52,71.94,94,99,1.32,overcast clouds
88,Norman Wells,CA,65.28,-126.83,73.44,46,75,6.91,broken clouds
89,Jamestown,US,42.10,-79.24,80.24,61,100,6.91,overcast clouds
90,Tucuma,BR,-0.18,-50.05,75.61,91,23,5.46,few clouds
91,Zacatepec,MX,18.65,-99.20,75.42,76,30,1.1,scattered clouds
92,Yumen,CN,40.28,97.20,68.38,29,0,16.04,clear sky
93,Atar,MR,20.52,-13.05,81.18,60,34,10.25,scattered clouds
94,Tuktoyaktuk,CA,69.45,-133.04,50.0,93,75,9.22,broken clouds
95,Marfino,RU,55.70,37.38,57.45,87,100,4.47,overcast clouds
96,Avarua,CK,-21.21,-159.78,73.45,68,75,16.11,broken clouds
97,Pisco,PE,-13.70,-76.22,60.85,82,100,6.91,overcast clouds
98,Zabol,AF,32.25,67.25,80.33,33,0,18.3,clear sky
99,Port Alfred,ZA,-33.59,26.89,56.17,96,83,4.0,broken clouds
100,San Patricio,US,28.02,-97.52,86.9,78,1,17.78,clear sky
101,Pangody,RU,65.85,74.49,49.86,77,100,10.47,light rain
102,Ancud,CL,-41.87,-73.82,40.23,64,51,11.43,broken clouds
103,Pyay,MM,18.82,95.22,86.7,69,100,0.89,overcast clouds
104,Chinhoyi,ZW,-17.37,30.20,53.24,80,24,5.86,few clouds
105,Cabo San Lucas,MX,22.89,-109.91,89.62,69,6,14.18,clear sky
106,Cherskiy,RU,68.75,161.30,48.31,38,13,18.54,few clouds
107,Lieksa,FI,63.32,30.02,59.41,83,76,4.72,broken clouds
108,Honningsvag,NO,70.98,25.97,58.75,77,100,14.97,overcast clouds
